age,ubi,exp,usa,ind,edu
45-55,0,0,3,3,0
45-55,1,0,3,3,1
25-35,1,0,3,4,0
45-55,0,1,3,3,2
45-55,1,1,4,4,2
15-25,1,2,4,3,2
25-35,0,1,4,3,0
15-25,1,1,3,3,0
15-25,0,1,3,4,2
15-25,1,3,2,3,2
15-25,1,3,2,3,2
45-55,1,0,5,4,2
15-25,0,1,4,4,1
15-25,1,1,3,2,0
15-25,1,2,3,2,1
15-25,0,0,2,3,2
35-45,0,0,1,2,0
15-25,0,3,3,2,0
15-25,1,4,3,2,0
45-55,1,1,4,1,0
35-45,1,3,3,2,2
45-55,0,0,5,3,0
15-25,1,5,3,3,2
15-25,0,2,3,2,1
15-25,1,2,4,5,0
45-55,0,2,4,3,0
15-25,1,1,3,3,2
15-25,1,1,2,1,2
15-25,1,3,2,4,0
35-45,0,0,4,4,0
15-25,1,3,4,5,0
15-25,1,0,2,2,2
25-35,0,4,2,4,2
25-35,0,0,2,1,0
15-25,1,3,3,4,2
15-25,1,2,3,2,0
15-25,1,0,3,4,0
45-55,0,6,2,4,2
25-35,1,1,1,1,0
25-35,0,0,3,4,0
45-55,0,0,1,1,1
15-25,1,3,3,2,0
15-25,1,1,3,3,2
25-35,0,3,4,3,2
15-25,1,0,3,2,2
35-45,0,3,2,2,0
15-25,0,0,4,2,0
15-25,1,2,5,5,0
35-45,0,0,4,4,0
15-25,1,1,3,3,0
15-25,0,7,3,4,0
15-25,1,0,3,4,2
15-25,0,1,3,3,1
15-25,1,3,3,3,0
45-55,1,3,3,3,0
45-55,1,3,3,3,0
35-45,0,8,4,2,0
55 and greater,0,0,3,4,0
45-55,1,0,4,2,0
15-25,1,1,1,3,2
45-55,1,3,1,1,0
15-25,0,3,3,3,0
45-55,0,2,4,4,0
45-55,1,3,3,3,0
45-55,0,0,3,4,0
15-25,1,2,3,3,2
15-25,1,9,2,3,2
15-25,1,4,3,4,0
35-45,1,1,4,3,2
35-45,0,2,3,4,0
45-55,1,0,5,5,0
